,Client_ID,ordered_boxes,ordered_volume,date,region,Center_ID,Latitude_CD,Longitude_CD,Latitude_Client,Longitude_Client,cluster_id,Assigned_CD
26296,12240462,72.02,5.444711999999999,2025-03-28,Centro,AV50,4.742992,-74.164592,4.872364,-74.29287,8,AV50
26297,12240482,29.0,2.1924,2025-03-18,Centro,AV26,4.596453,-74.148856,4.49363,-74.1188,6,AV26
26298,12240566,21.95,1.6594200000000001,2025-03-20,Centro,AV42,5.544456,-73.352553,5.521136086,-73.3682444,4,AV42
26299,12240579,66.0,4.9896,2025-03-26,Centro,AV04,5.807142,-73.006556,5.541947,-72.954639,1,AV04
26300,12240594,12.0,0.9072,2025-03-06,Centro,AV50,4.742992,-74.164592,5.0094,-74.4682,7,AV50
26301,12240597,3.0,0.2268,2025-03-21,Centro,AV26,4.596453,-74.148856,4.541683,-74.081228,6,AV26
26302,12240601,255.25,19.2969,2025-03-05,Centro,AV50,4.742992,-74.164592,4.732283269,-74.2784212,8,AV50
26303,12240622,61.25,4.6305,2025-03-25,Centro,AV47,4.541264,-74.251706,4.65454,-74.45558,8,AV47
26304,12240684,13.4966667,1.02034800252,2025-03-20,Centro,AV26,4.596453,-74.148856,4.582082345,-74.11083524,6,AV26
26305,12241116,38.24,2.890944,2025-03-21,Centro,AV42,5.544456,-73.352553,5.687285,-73.367165,4,AV42
26306,12241125,2.5,0.189,2025-03-22,Centro,AV47,4.541264,-74.251706,4.573759,-74.247778,6,AV47
26307,12241186,12.0833333,0.91349999748,2025-03-13,Centro,AV47,4.541264,-74.251706,4.52649,-74.428375,3,AV47
26308,12241217,65.52,4.953312,2025-03-29,Centro,AV47,4.541264,-74.251706,4.553136,-74.238304,6,AV47
26309,12241248,9.77,0.738612,2025-03-15,Centro,AV26,4.596453,-74.148856,4.567340399,-74.14977423,6,AV26
26310,12241416,222.3333333,16.808399997480002,2025-03-31,Centro,AV50,4.742992,-74.164592,4.742054402,-74.12451256,0,AV50
26311,12241810,9.0,0.6804,2025-03-19,Centro,AV06,4.946467,-73.941175,5.05885,-73.9825,9,AV06
26312,12241965,237.0,17.9172,2025-03-06,Centro,AV06,4.946467,-73.941175,4.621418577,-73.9110502,0,AV06
26313,12241984,198.06,14.973336,2025-03-04,Centro,AV50,4.742992,-74.164592,4.81856,-74.3488,8,AV50
26314,12242018,3.75,0.2835,2025-03-15,Centro,AV50,4.742992,-74.164592,4.730242769,-74.28059615,8,AV50
26315,12242024,19.0,1.4364,2025-03-22,Centro,AV47,4.541264,-74.251706,4.585052048,-74.22189152,6,AV47
26316,12242093,145.0,10.962,2025-03-12,Centro,AV50,4.742992,-74.164592,4.7525149,-74.495218,8,AV47
26317,12242127,20.0,1.512,2025-03-11,Centro,AV06,4.946467,-73.941175,5.010242695,-73.47078376,2,AV06
26318,12242129,15.0,1.134,2025-03-06,Centro,AV42,5.544456,-73.352553,5.437870736,-73.29706437,4,AV42
26319,12242135,7.0,0.5292,2025-03-04,Centro,AV26,4.596453,-74.148856,4.518727567,-74.12333588,6,AV26
26320,12242160,17.060000000000002,1.289736,2025-03-11,Centro,AV26,4.596453,-74.148856,4.539157042,-74.09200826,6,AV26
26321,12242229,28.5833333,2.16089999748,2025-03-06,Centro,AV47,4.541264,-74.251706,4.57262781,-74.2228383,6,AV47
26322,12242293,98.54166670000001,7.44975000252,2025-03-25,Centro,AV50,4.742992,-74.164592,4.72176,-74.0863,0,AV50
26323,12242392,138.0,10.4328,2025-03-12,Centro,AV04,5.807142,-73.006556,5.66698,-72.9967,1,AV04
26324,12242398,2.27,0.171612,2025-03-28,Centro,AV26,4.596453,-74.148856,4.5399,-74.0926,6,AV26
26325,12242429,8.4,0.63504,2025-03-21,Centro,AV04,5.807142,-73.006556,5.78786,-72.9848,1,AV04
26326,12242433,27.4,2.07144,2025-03-27,Centro,AV26,4.596453,-74.148856,4.5683,-74.1311,6,AV26
26327,12242464,6.27,0.474012,2025-03-11,Centro,AV26,4.596453,-74.148856,4.54033,-74.09,6,AV26
26328,12242481,30.5,2.3058,2025-03-25,Centro,AV42,5.544456,-73.352553,5.61969,-73.6193,4,AV42
26329,12242497,36.5,2.7594000000000003,2025-03-10,Centro,AV26,4.596453,-74.148856,4.568726,-74.079431,6,AV26
26330,12242838,108.25,8.1837,2025-03-03,Centro,AV42,5.544456,-73.352553,5.509835,-73.373322,4,AV42
26331,12242958,89.0,6.7284,2025-03-28,Centro,AV47,4.541264,-74.251706,4.178616176,-74.42310075,3,AV47
26332,12242980,5.75,0.4347,2025-03-07,Centro,AV06,4.946467,-73.941175,5.318855477,-73.39566293,2,AV42
26333,12243042,3.5,0.2646,2025-03-21,Centro,AV47,4.541264,-74.251706,4.485280578,-74.25896065,6,AV47
26334,12243045,11.5,0.8694,2025-03-27,Centro,AV42,5.544456,-73.352553,5.507695197,-73.37428239,4,AV42
